OrderID,Order_Date,CustomerID,Customer_Name,StockItemID,StockItem_Name,Quantity,UnitPrice,TaxRate,Line_Revenue,Tax_Amount,Transaction_Date
35848,10/13/2014,1,Tailspin Toys (Head Office),201,Red and white urgent despatch tape 48mmx75m,72,3.7,15,266.4,39.96,11/12/2014
46984,4/14/2015,401,Wingtip Toys (Head Office),53,IT joke mug - keyboard not found … press F1 to continue (Black),6,13,15,78,11.7,4/14/2015
32117,8/5/2014,401,Wingtip Toys (Head Office),68,Ride on toy sedan car (Red) 1/12 scale,10,230,15,2300,345,11/5/2015
30012,7/3/2014,401,Wingtip Toys (Head Office),122,Ogre battery-powered slippers (Green) S,7,32,15,224,33.6,9/18/2014
44197,2/28/2015,873,Hana Hlouskova,16,DBA joke mug - mind if I join you? (White),7,13,15,91,13.65,6/24/2015
46714,4/9/2015,401,Wingtip Toys (Head Office),111,Superhero action jacket (Blue) M,4,30,15,120,18,3/1/2013
17977,12/3/2013,941,Bishwa Chatterjee,160,20 mm Double sided bubble wrap 20m,100,33,15,3300,495,3/21/2013
22163,2/18/2014,871,Darshana Madhunapantula,104,Alien officer hoodie (Black) 3XL,4,35,15,140,21,6/5/2014
5063,4/10/2013,1,Tailspin Toys (Head Office),60,RC toy sedan car with remote control (Blue) 1/50 scale,9,25,15,225,33.75,9/14/2015
37001,10/31/2014,841,Camille Authier,113,Superhero action jacket (Blue) XL,5,30,15,150,22.5,4/10/2015
28128,6/3/2014,940,Lorin Astrom,180,Shipping carton (Brown) 279x254x217mm,25,1.11,15,27.75,4.1625,6/12/2013
37628,11/10/2014,1,Tailspin Toys (Head Office),110,Superhero action jacket (Blue) S,3,25,15,75,11.25,6/18/2013
14643,9/28/2013,843,Marija Justina Pasek,136,Animal with big feet slippers (Brown) L,7,32,15,224,33.6,10/30/2015
18693,12/17/2013,875,Philip Walker,111,Superhero action jacket (Blue) M,6,30,15,180,27,4/6/2013
4581,4/1/2013,1,Tailspin Toys (Head Office),34,Developer joke mug - fun was unexpected at this time (White),8,13,15,104,15.6,4/10/2014
7740,5/28/2013,401,Wingtip Toys (Head Office),84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",120,18,15,2160,324,1/23/2013
38993,12/5/2014,401,Wingtip Toys (Head Office),131,Furry gorilla with big eyes slippers (Black) M,4,32,15,128,19.2,4/27/2016
51091,6/12/2015,878,Miriam House,109,Superhero action jacket (Blue) XS,6,25,15,150,22.5,7/8/2015
57867,9/25/2015,810,Alena Kellnerova,55,IT joke mug - that behavior is by design (Black),9,13,15,117,17.55,8/18/2014
72687,5/18/2016,859,Shah Alizadeh,8,USB food flash drive - dim sum 10 drive variety pack,8,240,15,1920,288,1/29/2013
60434,11/4/2015,1,Tailspin Toys (Head Office),6,USB food flash drive - hot dog,5,32,15,160,24,11/10/2015
19278,12/28/2013,401,Wingtip Toys (Head Office),100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",96,18,15,1728,259.2,6/27/2013
36236,10/18/2014,1,Tailspin Toys (Head Office),2,USB rocket launcher (Gray),4,25,15,100,15,7/18/2013
56878,9/11/2015,1023,Farzana Habibi,189,Clear packaging tape 48mmx75m,182,2.9,15,527.8,79.17,4/20/2016
62521,12/8/2015,823,Francisca Laureano,6,USB food flash drive - hot dog,8,32,15,256,38.4,3/6/2014
45163,3/16/2015,401,Wingtip Toys (Head Office),27,DBA joke mug - SELECT caffeine FROM mug (Black),10,13,15,130,19.5,11/20/2013
24917,4/11/2014,902,Kamila Michnova,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",60,18,15,1080,162,4/22/2016
56788,9/9/2015,1,Tailspin Toys (Head Office),10,USB food flash drive - chocolate bar,9,32,15,288,43.2,2/23/2015
16117,10/28/2013,1,Tailspin Toys (Head Office),95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",48,18,15,864,129.6,4/29/2014
52867,7/10/2015,957,Hee-Young Suh,145,Halloween zombie mask (Light Brown) XL,96,18,15,1728,259.2,3/14/2015
3482,3/12/2013,1,Tailspin Toys (Head Office),166,10 mm Anti static bubble wrap (Blue) 20m,50,42,15,2100,315,4/9/2013
19498,1/1/2014,1,Tailspin Toys (Head Office),217,Void fill 200 L bag (White) 200L,10,25,15,250,37.5,12/16/2014
59252,10/17/2015,866,Jay Bhuiyan,42,Developer joke mug - understanding recursion requires understanding recursion (White),7,13,15,91,13.65,3/2/2016
52751,7/9/2015,1,Tailspin Toys (Head Office),75,Ride on big wheel monster truck (Black) 1/12 scale,5,345,15,1725,258.75,4/19/2016
16500,11/5/2013,401,Wingtip Toys (Head Office),163,32 mm Double sided bubble wrap 20m,80,37,15,2960,444,7/27/2013
31992,8/4/2014,401,Wingtip Toys (Head Office),62,RC toy sedan car with remote control (Yellow) 1/50 scale,6,25,15,150,22.5,6/12/2015
73206,5/26/2016,401,Wingtip Toys (Head Office),122,Ogre battery-powered slippers (Green) S,5,32,15,160,24,9/21/2015
59061,10/15/2015,401,Wingtip Toys (Head Office),88,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",96,18,15,1728,259.2,9/5/2014
15888,10/24/2013,908,Sumati Bhat,140,Furry animal socks (Pink) L,60,5,15,300,45,12/19/2014
9403,6/26/2013,944,Ida Celma,29,DBA joke mug - two types of DBAs (Black),6,13,15,78,11.7,1/25/2016
54969,8/11/2015,1,Tailspin Toys (Head Office),64,RC vintage American toy coupe with remote control (Red) 1/50 scale,9,30,15,270,40.5,3/23/2013
4064,3/21/2013,1,Tailspin Toys (Head Office),183,Shipping carton (Brown) 480x270x320mm,75,2.74,15,205.5,30.825,12/12/2015
7053,5/15/2013,871,Darshana Madhunapantula,104,Alien officer hoodie (Black) 3XL,1,35,15,35,5.25,5/15/2015
16980,11/15/2013,890,Olya Izmaylov,105,Alien officer hoodie (Black) 4XL,8,35,15,280,42,1/19/2015
30870,7/15/2014,848,Alvin Bollinger,81,"""The Gu"" red shirt XML tag t-shirt (White) L",72,18,15,1296,194.4,2/7/2015
59412,10/20/2015,1,Tailspin Toys (Head Office),213,Air cushion film 200mmx100mm 325m,2,87,15,174,26.1,11/25/2013
66389,2/9/2016,969,Staffan Persson,44,Developer joke mug - there are 10 types of people in the world (White),10,13,15,130,19.5,3/26/2013
35252,10/2/2014,804,Aleksandrs Riekstins,214,Air cushion film 200mmx200mm 325m,9,90,15,810,121.5,5/22/2013
26304,5/3/2014,874,Daniel Martensson,215,Air cushion machine (Blue),10,1899,15,18990,2848.5,4/15/2015
9229,6/24/2013,1,Tailspin Toys (Head Office),124,Ogre battery-powered slippers (Green) L,8,32,15,256,38.4,3/5/2016
36999,10/31/2014,977,Mauno Laurila,217,Void fill 200 L bag (White) 200L,100,25,15,2500,375,2/10/2015
4064,3/21/2013,1,Tailspin Toys (Head Office),183,Shipping carton (Brown) 480x270x320mm,75,2.74,15,205.5,30.825,9/24/2013
7764,5/28/2013,401,Wingtip Toys (Head Office),38,Developer joke mug - inheritance is the OO way to become wealthy (White),5,13,15,65,9.75,2/27/2015
21590,2/7/2014,857,Clarissa Manfrin,49,Developer joke mug - this code was generated by a tool (Black),2,13,15,26,3.9,10/6/2015
34110,9/11/2014,401,Wingtip Toys (Head Office),190,Clear packaging tape 48mmx100m,60,3.5,15,210,31.5,1/19/2015
49877,5/27/2015,837,Anil Sarkar,194,Black and orange glass with care despatch tape  48mmx100m,192,4.1,15,787.2,118.08,7/9/2013
48528,5/5/2015,898,Gopalgobinda Sikdar,98,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",84,18,15,1512,226.8,10/3/2014
50715,6/8/2015,1,Tailspin Toys (Head Office),94,"""The Gu"" red shirt XML tag t-shirt (Black) L",96,18,15,1728,259.2,3/20/2015
38771,12/2/2014,1007,Irma Berzina,206,Permanent marker black 5mm nib (Black) 5mm,36,2.7,15,97.2,14.58,7/9/2013
36946,10/30/2014,1,Tailspin Toys (Head Office),197,Black and orange this way up despatch tape 48mmx75m,72,3.7,15,266.4,39.96,5/24/2013
24438,4/1/2014,830,Jana Fialova,98,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",48,18,15,864,129.6,7/2/2013
65288,1/21/2016,401,Wingtip Toys (Head Office),153,Small sized bubblewrap roll 10m,60,4.5,15,270,40.5,3/25/2014
65288,1/21/2016,401,Wingtip Toys (Head Office),212,Large  replacement blades 18mm,50,4.3,15,215,32.25,4/1/2014
32163,8/6/2014,401,Wingtip Toys (Head Office),122,Ogre battery-powered slippers (Green) S,5,32,15,160,24,3/13/2015
67317,2/25/2016,945,Hoc Tran,7,USB food flash drive - pizza slice,6,32,15,192,28.8,8/22/2015
54998,8/11/2015,1007,Irma Berzina,55,IT joke mug - that behavior is by design (Black),1,13,15,13,1.95,4/30/2015
61394,11/20/2015,401,Wingtip Toys (Head Office),99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",96,18,15,1728,259.2,5/7/2015
47616,4/23/2015,1014,Narendra Tickoo,145,Halloween zombie mask (Light Brown) XL,24,18,15,432,64.8,11/14/2015
38015,11/17/2014,1,Tailspin Toys (Head Office),2,USB rocket launcher (Gray),4,25,15,100,15,7/21/2015
44330,3/3/2015,1,Tailspin Toys (Head Office),188,3 kg Courier post bag (White) 300x190x95mm,25,0.66,15,16.5,2.475,8/12/2015
32066,8/4/2014,900,Lilli Sokk,119,Dinosaur battery-powered slippers (Green) M,6,32,15,192,28.8,5/13/2015
7431,5/22/2013,1,Tailspin Toys (Head Office),1,USB missile launcher (Green),3,25,15,75,11.25,9/24/2013
26159,5/1/2014,1008,Vedrana Kovacevic,81,"""The Gu"" red shirt XML tag t-shirt (White) L",72,18,15,1296,194.4,7/19/2014
24798,4/8/2014,947,Svetlana Todorovic,31,Developer joke mug - Oct 31 = Dec 25 (Black),8,13,15,104,15.6,12/29/2014
40007,12/22/2014,1,Tailspin Toys (Head Office),107,Superhero action jacket (Blue) 3XS,6,25,15,150,22.5,11/13/2014
57404,9/18/2015,1,Tailspin Toys (Head Office),144,Halloween zombie mask (Light Brown) L,120,18,15,2160,324,12/2/2014
73206,5/26/2016,401,Wingtip Toys (Head Office),152,Pack of 12 action figures (female),2,16,15,32,4.8,3/4/2015
12222,8/14/2013,401,Wingtip Toys (Head Office),122,Ogre battery-powered slippers (Green) S,6,32,15,192,28.8,4/28/2015
17592,11/26/2013,820,Knut Svensson,118,Dinosaur battery-powered slippers (Green) S,2,32,15,64,9.6,12/18/2015
47301,4/17/2015,840,Rodrigo Figueiredo,141,Furry animal socks (Pink) XL,96,5,15,480,72,10/27/2014
54029,7/27/2015,959,Dhaatri Chavva,94,"""The Gu"" red shirt XML tag t-shirt (Black) L",120,18,15,2160,324,3/3/2016
56788,9/9/2015,1,Tailspin Toys (Head Office),49,Developer joke mug - this code was generated by a tool (Black),7,13,15,91,13.65,6/19/2015
20742,1/24/2014,1,Tailspin Toys (Head Office),136,Animal with big feet slippers (Brown) L,8,32,15,256,38.4,10/21/2014
14256,9/23/2013,401,Wingtip Toys (Head Office),98,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",12,18,15,216,32.4,12/28/2015
9229,6/24/2013,1,Tailspin Toys (Head Office),118,Dinosaur battery-powered slippers (Green) S,9,32,15,288,43.2,2/18/2016
37073,10/31/2014,806,Shi Tu,128,Plush shark slippers (Gray) L,5,32,15,160,24,4/18/2013
9706,7/1/2013,401,Wingtip Toys (Head Office),79,"""The Gu"" red shirt XML tag t-shirt (White) S",108,18,15,1944,291.6,1/28/2016
71008,4/22/2016,903,Bing Han,215,Air cushion machine (Blue),7,1899,15,13293,1993.95,8/13/2015
65355,1/21/2016,401,Wingtip Toys (Head Office),86,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",48,18,15,864,129.6,9/21/2015
12381,8/17/2013,873,Hana Hlouskova,122,Ogre battery-powered slippers (Green) S,10,32,15,320,48,6/6/2013
36843,10/29/2014,894,Gabriela Hernandes,5,USB food flash drive - hamburger,1,32,15,32,4.8,3/28/2016
46465,4/6/2015,818,Liia Orav,114,Superhero action jacket (Blue) XXL,5,30,15,150,22.5,9/11/2014
32314,8/8/2014,1,Tailspin Toys (Head Office),208,Permanent marker red 5mm nib (Red) 5mm,84,2.7,15,226.8,34.02,9/1/2013
25307,4/17/2014,401,Wingtip Toys (Head Office),197,Black and orange this way up despatch tape 48mmx75m,24,3.7,15,88.8,13.32,10/1/2013
52751,7/9/2015,1,Tailspin Toys (Head Office),65,RC vintage American toy coupe with remote control (Black) 1/50 scale,5,30,15,150,22.5,4/10/2015
39086,12/8/2014,874,Daniel Martensson,35,Developer joke mug - fun was unexpected at this time (Black),6,13,15,78,11.7,6/9/2014
5658,4/20/2013,895,Geza Roman,53,IT joke mug - keyboard not found … press F1 to continue (Black),2,13,15,26,3.9,10/28/2015
26300,5/3/2014,1,Tailspin Toys (Head Office),35,Developer joke mug - fun was unexpected at this time (Black),7,13,15,91,13.65,6/10/2014
1705,2/1/2013,855,Anna Mazzanti,153,Small sized bubblewrap roll 10m,90,4.5,15,405,60.75,11/16/2014
24408,4/1/2014,1,Tailspin Toys (Head Office),90,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",84,18,15,1512,226.8,12/23/2013
45625,3/24/2015,892,Bahaar Asef zade,35,Developer joke mug - fun was unexpected at this time (Black),10,13,15,130,19.5,8/12/2014
42550,2/3/2015,862,Lana Goransson,162,32 mm Double sided bubble wrap 10m,70,22,15,1540,231,7/3/2013
33450,8/29/2014,401,Wingtip Toys (Head Office),88,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",120,18,15,2160,324,5/30/2014
53318,7/16/2015,1016,Aive Petrov,204,Tape dispenser (Red),10,32,15,320,48,6/30/2015
52498,7/6/2015,971,Dhanishta Mokkapati,141,Furry animal socks (Pink) XL,72,5,15,360,54,6/9/2015
45338,3/19/2015,401,Wingtip Toys (Head Office),114,Superhero action jacket (Blue) XXL,4,30,15,120,18,6/26/2015
8862,6/17/2013,1,Tailspin Toys (Head Office),184,Shipping carton (Brown) 305x305x305mm,150,3.5,15,525,78.75,3/20/2015
5264,4/13/2013,1,Tailspin Toys (Head Office),28,DBA joke mug - two types of DBAs (White),6,13,15,78,11.7,6/27/2015
58300,10/2/2015,401,Wingtip Toys (Head Office),150,Pack of 12 action figures (variety),5,16,15,80,12,2/23/2013
48743,5/9/2015,401,Wingtip Toys (Head Office),137,Animal with big feet slippers (Brown) XL,7,32,15,224,33.6,12/28/2013
45616,3/24/2015,1,Tailspin Toys (Head Office),38,Developer joke mug - inheritance is the OO way to become wealthy (White),5,13,15,65,9.75,5/14/2013
43539,2/19/2015,984,Kamala Nishad,22,DBA joke mug - it depends (White),8,13,15,104,15.6,1/17/2014
10856,7/19/2013,401,Wingtip Toys (Head Office),66,RC big wheel monster truck with remote control (Black) 1/50 scale,2,45,15,90,13.5,4/16/2013
35430,10/6/2014,923,Tai Bach,45,Developer joke mug - there are 10 types of people in the world (Black),3,13,15,39,5.85,9/18/2013
38813,12/2/2014,856,Satish Mittal,219,Void fill 400 L bag (White) 400L,70,50,15,3500,525,1/8/2016
37628,11/10/2014,1,Tailspin Toys (Head Office),59,RC toy sedan car with remote control (Red) 1/50 scale,3,25,15,75,11.25,1/26/2016
29382,6/23/2014,1,Tailspin Toys (Head Office),144,Halloween zombie mask (Light Brown) L,120,18,15,2160,324,11/25/2013
52798,7/9/2015,401,Wingtip Toys (Head Office),160,20 mm Double sided bubble wrap 20m,60,33,15,1980,297,7/22/2015
15499,10/17/2013,826,Leila Carvalho,151,Pack of 12 action figures (male),4,16,15,64,9.6,6/18/2013
70596,4/16/2016,401,Wingtip Toys (Head Office),23,DBA joke mug - it depends (Black),4,13,15,52,7.8,9/14/2015
9706,7/1/2013,401,Wingtip Toys (Head Office),79,"""The Gu"" red shirt XML tag t-shirt (White) S",108,18,15,1944,291.6,2/7/2015
67633,3/1/2016,401,Wingtip Toys (Head Office),141,Furry animal socks (Pink) XL,96,5,15,480,72,5/3/2016
54581,8/4/2015,833,Devraj Rao,150,Pack of 12 action figures (variety),3,16,15,48,7.2,4/27/2013
70189,4/11/2016,990,Andris Saulitis,109,Superhero action jacket (Blue) XS,7,25,15,175,26.25,2/1/2013
14253,9/23/2013,401,Wingtip Toys (Head Office),207,Permanent marker blue 5mm nib (Blue) 5mm,48,2.7,15,129.6,19.44,11/20/2014
35199,10/1/2014,837,Anil Sarkar,135,Animal with big feet slippers (Brown) M,10,32,15,320,48,11/7/2013
61121,11/16/2015,831,Bhaavan Rai,189,Clear packaging tape 48mmx75m,156,2.9,15,452.4,67.86,2/21/2014
46145,4/2/2015,1,Tailspin Toys (Head Office),180,Shipping carton (Brown) 279x254x217mm,100,1.11,15,111,16.65,10/17/2014
72407,5/13/2016,401,Wingtip Toys (Head Office),91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",36,18,15,648,97.2,4/25/2014
62567,12/8/2015,881,Magdalena Michnova,70,Ride on toy sedan car (Green) 1/12 scale,4,230,15,920,138,7/19/2014
62054,12/1/2015,1,Tailspin Toys (Head Office),114,Superhero action jacket (Blue) XXL,2,30,15,60,9,5/29/2014
45163,3/16/2015,401,Wingtip Toys (Head Office),169,20 mm Anti static bubble wrap (Blue) 20m,70,45,15,3150,472.5,12/2/2014
71140,4/26/2016,850,Daakshaayaani Sankaramanchi,84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",84,18,15,1512,226.8,4/26/2014
38656,11/28/2014,401,Wingtip Toys (Head Office),71,Ride on toy sedan car (Yellow) 1/12 scale,10,230,15,2300,345,12/10/2014
35327,10/3/2014,1,Tailspin Toys (Head Office),128,Plush shark slippers (Gray) L,6,32,15,192,28.8,9/23/2014
44330,3/3/2015,1,Tailspin Toys (Head Office),188,3 kg Courier post bag (White) 300x190x95mm,25,0.66,15,16.5,2.475,2/14/2013
23086,3/6/2014,848,Alvin Bollinger,104,Alien officer hoodie (Black) 3XL,2,35,15,70,10.5,3/2/2013
4064,3/21/2013,1,Tailspin Toys (Head Office),184,Shipping carton (Brown) 305x305x305mm,125,3.5,15,437.5,65.625,1/25/2016
31027,7/17/2014,953,Linh Dao,215,Air cushion machine (Blue),2,1899,15,3798,569.7,12/31/2014
32331,8/8/2014,908,Sumati Bhat,57,IT joke mug - hardware: part of the computer that can be kicked (Black),1,13,15,13,1.95,6/17/2015
71128,4/26/2016,1,Tailspin Toys (Head Office),138,Furry animal socks (Pink) S,84,5,15,420,63,4/24/2014
64132,1/4/2016,887,Baran Jonsson,60,RC toy sedan car with remote control (Blue) 1/50 scale,8,25,15,200,30,2/13/2016
8862,6/17/2013,1,Tailspin Toys (Head Office),27,DBA joke mug - SELECT caffeine FROM mug (Black),9,13,15,117,17.55,9/19/2014
31215,7/21/2014,401,Wingtip Toys (Head Office),198,Black and orange this way up despatch tape  48mmx100m,216,4.1,15,885.6,132.84,2/2/2016
11321,7/27/2013,401,Wingtip Toys (Head Office),164,32 mm Double sided bubble wrap 50m,80,112,15,8960,1344,3/12/2015
61807,11/25/2015,935,Daevasree Samavedam,189,Clear packaging tape 48mmx75m,26,2.9,15,75.4,11.31,5/9/2013
4161,3/22/2013,806,Shi Tu,77,"""The Gu"" red shirt XML tag t-shirt (White) XXS",120,18,15,2160,324,7/14/2014
53476,7/20/2015,1,Tailspin Toys (Head Office),48,Developer joke mug - this code was generated by a tool (White),8,13,15,104,15.6,3/9/2015
23060,3/6/2014,401,Wingtip Toys (Head Office),144,Halloween zombie mask (Light Brown) L,36,18,15,648,97.2,3/1/2014
47316,4/17/2015,958,Valentin Tirlea,108,Superhero action jacket (Blue) XXS,10,25,15,250,37.5,12/3/2013
1157,1/23/2013,866,Jay Bhuiyan,6,USB food flash drive - hot dog,4,32,15,128,19.2,10/18/2015
28531,6/9/2014,1017,David Novacek ,150,Pack of 12 action figures (variety),1,16,15,16,2.4,11/16/2014
35991,10/15/2014,1,Tailspin Toys (Head Office),154,Medium sized bubblewrap roll 20m,70,20,15,1400,210,5/28/2015
494,1/9/2013,401,Wingtip Toys (Head Office),186,Shipping carton (Brown) 457x457x457mm,225,2.1,15,472.5,70.875,3/24/2014
13467,9/9/2013,401,Wingtip Toys (Head Office),40,"Developer joke mug - (hip, hip, array) (White)",7,13,15,91,13.65,3/4/2014
494,1/9/2013,401,Wingtip Toys (Head Office),110,Superhero action jacket (Blue) S,5,25,15,125,18.75,4/11/2014
70921,4/21/2016,941,Bishwa Chatterjee,216,Void fill 100 L bag (White) 100L,60,12.5,15,750,112.5,10/28/2015
10007,7/5/2013,910,Elina Kaleja,3,Office cube periscope (Black),70,18.5,15,1295,194.25,5/8/2013
7871,5/30/2013,401,Wingtip Toys (Head Office),81,"""The Gu"" red shirt XML tag t-shirt (White) L",12,18,15,216,32.4,4/8/2016
39878,12/19/2014,843,Marija Justina Pasek,216,Void fill 100 L bag (White) 100L,60,12.5,15,750,112.5,7/2/2015
