PersonID,Full_Name,Preferred_Name,Login_Name,Email_Address,Phone_Number,Is_Employee,Is_Salesperson,Is_System_User,Is_Permitted_To_Login,Employment_Started_When,Employment_Ended_When,Days_Worked,Version_Source
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/7/2014,5/15/2014,8,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,4/23/2014,5/16/2014,23,History
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,7/28/2013,5/31/2014,307,History
18,Katie Darwin,Katie,katied@wideworldimporters.com,katied@wideworldimporters.com,(415) 555-0102,1,0,1,1,8/22/2013,6/10/2014,292,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/16/2014,6/11/2014,26,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,4/14/2014,7/8/2014,85,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,4/25/2014,7/18/2014,84,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/8/2014,7/19/2014,72,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,9/14/2013,7/22/2014,311,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,7/18/2014,8/20/2014,33,History
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,10/23/2013,9/16/2014,328,History
18,Katie Darwin,Katie,katied@wideworldimporters.com,katied@wideworldimporters.com,(415) 555-0102,1,0,1,1,6/10/2014,9/16/2014,98,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,11/23/2013,10/4/2014,315,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,7/22/2014,10/4/2014,74,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,7/19/2014,10/27/2014,100,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,6/11/2014,11/7/2014,149,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,11/4/2013,11/12/2014,373,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/15/2014,11/12/2014,181,History
12,Henry Forlonge,Henry,henryf@wideworldimporters.com,henryf@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/12/2014,11/13/2014,185,History
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,9/16/2014,11/14/2014,59,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,11/12/2014,11/16/2014,4,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,10/27/2014,11/26/2014,30,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/28/2014,12/3/2014,309,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,11/12/2014,12/8/2014,26,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/3/2014,12/9/2014,6,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,11/26/2014,12/10/2014,14,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,10/4/2014,12/12/2014,69,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,12/8/2014,12/25/2014,17,History
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,11/14/2014,1/2/2015,49,History
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2014,1/15/2015,229,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/9/2014,2/2/2015,55,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/24/2014,2/6/2015,319,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,4/24/2014,3/3/2015,313,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,3/3/2015,3/26/2015,23,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,10/6/2013,4/5/2015,546,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/2/2015,4/22/2015,79,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,4/22/2015,5/16/2015,24,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,11/16/2014,5/25/2015,190,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/12/2014,5/28/2015,167,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,4/5/2015,6/8/2015,64,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,10/4/2014,6/12/2015,251,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,4/23/2014,6/15/2015,418,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/6/2015,7/2/2015,146,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,12/25/2014,8/2/2015,220,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,7/8/2014,9/12/2015,431,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,6/8/2015,11/19/2015,164,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,11/19/2015,12/3/2015,14,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,6/12/2015,12/5/2015,176,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,7/2/2015,12/11/2015,162,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/11/2015,12/12/2015,1,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,12/3/2015,12/24/2015,21,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,11/7/2014,2/15/2016,465,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,12/24/2015,2/25/2016,63,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/25/2015,3/10/2016,290,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/16/2015,3/11/2016,300,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,12/10/2014,3/13/2016,459,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,6/15/2015,3/20/2016,279,History
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/15/2015,3/25/2016,435,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/10/2016,3/27/2016,17,History
